17:45|17:45|He promised to be back by six.” “It wants a quarter to six at present,” said Bathsheba, looking at her watch.|Far from the Madding Crowd|Thomas Hardy|sfw
18:00|18:00|He’s told the nurse to stay away until six o’clock.|The Secret Garden|Frances Hodgson Burnett|sfw
18:00|18:00|Oh, at six o’clock: he keeps early hours in the country.|Jane Eyre|Charlotte Bronte|sfw
18:00|18:00|This evening, at six o’clock, the two friends went to dine in a hotel in a fashionable quarter.|Of One Blood|Pauline E. Hopkins|sfw
18:15|18:15|Now, papa, if you are going down by the 6:10 train you ought to start.|The Story of an African Farm|Olive Schreiner|sfw
18:15|18:15|What time is your train, Fred?” “Ten minutes past six; very nearly dark.|North and South|Elizabeth Gaskell|sfw
18:15|18:15|It is scarcely a quarter of an hour since I told you it was but ten minutes past six.” “I am so thirsty!” announced the poor invalid.|East Lynne|Mrs. Henry Wood|sfw
18:30|18:30|We should finish dinner at, say, half-past six.|Three Men in a Boat|Jerome K. Jerome|sfw
18:30|18:30|It’s half-past six, and I may be out for some time.|North and South|Elizabeth Gaskell|sfw
18:30|18:30|I was at the Heights by half-past six, and generally stayed till half-past eight, and then galloped home.|Wuthering Heights|Emily Bronte|sfw
18:45|18:45|About a quarter to seven, Mrs. Inglethorp called us that we should be late as supper was early that night.|The Mysterious Affair at Styles|Agatha Christie|sfw
19:00|19:00|I have not seen him since seven o’clock.|Persuasion|Jane Austen|sfw
19:00|19:00|They had risen at seven o’clock or earlier.|Crime and Punishment|Fyodor Dostoevsky|sfw
19:00|19:00|At seven o’clock he came, and inquired if Miss Linton had risen.|Wuthering Heights|Emily Bronte|sfw
19:15|19:15|Glancing out of the corner of his eye into a shop, he saw by a clock on the wall that it was ten minutes past seven.|Crime and Punishment|Fyodor Dostoevsky|sfw
19:15|19:15|At seven o’clock in the evening all was ready, and at ten minutes past seven they doubled the lighthouse just as the beacon was kindled.|The Count of Monte Cristo|Alexandre Dumas|sfw
19:15|19:15|Baseball and sports 4:30-5:00 ” Practise elocution, poise and how to attain it 5:00-6:00 ” Study needed inventions 7:00-9:00 ” General Resolves *|The Great Gatsby|F. Scott Fitzgerald|sfw
19:30|19:30|She looked at her new watch--half past seven.|East Lynne|Mrs. Henry Wood|sfw
19:30|19:30|He said he would be here at half-past seven; now it must be eight.|The Awakening|Kate Chopin|sfw
19:30|19:30|It will be time enough, then, if you are back at half-past seven, Francis.|The Picture of Dorian Gray|Oscar Wilde|sfw
19:45|19:45|Mr. Cecil was with my partner at 7:50 on the evening of the 15th.|Under Two Flags|Ouida|sfw
19:45|19:45|But don’t be late, Count, if I may venture to ask; about ten minutes to eight, please.|War and Peace|Leo Tolstoy|sfw
19:45|19:45|The next evening at a quarter to eight Thea was dressed and waiting in the boarding-house parlor.|The Song of the Lark|Willa Cather|sfw
